algorithm,layer,utility,mean_violation,cvar,power_violation,dual_mean,dual_max,repair_selective_iters_mean,repair_alpha_mean,repair_alpha_min,repair_global_used_fraction,repair_global_scale_mean,repair_worst_excess_mean
risk_neutral_pgd,1,25.813020706176758,1955.3017578125,14893.541015625,1.419158213167293e-08,,,,,,,,
risk_neutral_pgd,2,52.624576568603516,1821.2099609375,13629.2939453125,0.0,,,,,,,,
risk_neutral_pgd,3,51.386871337890625,2037.15625,15587.064453125,0.0,,,,,,,,
risk_neutral_pgd,4,55.28765869140625,2416.010498046875,20001.51171875,0.0,,,,,,,,
risk_neutral_pgd,5,54.31120681762695,2172.1669921875,17428.78515625,0.0,,,,,,,,
risk_neutral_pgd,6,55.349422454833984,2130.06298828125,15699.919921875,0.0,,,,,,,,
risk_neutral_pgd,7,54.9703369140625,2221.732666015625,17628.8828125,0.0,,,,,,,,
risk_neutral_pgd,8,56.499759674072266,2118.840087890625,16390.2265625,0.0,,,,,,,,
risk_neutral_pgd,9,58.88395309448242,2253.051025390625,16952.04296875,0.0,,,,,,,,
risk_neutral_pgd,10,55.92592239379883,2101.88427734375,15417.85546875,0.0,,,,,,,,
wideband_pgd,1,-64350.96875,979.2517700195312,6210.7109375,2.2706531765948057e-08,,,,,,,,
wideband_pgd,2,-4728981.0,72858.3515625,454516.5625,0.0,,,,,,,,
wideband_pgd,3,-4222754.5,52534.54296875,429344.9375,0.0,,,,,,,,
wideband_pgd,4,-4532244.5,56703.73046875,460213.1875,0.0,,,,,,,,
wideband_pgd,5,-4465697.5,55668.61328125,453835.53125,0.0,,,,,,,,
wideband_pgd,6,-4485962.0,55975.54296875,455793.0625,0.0,,,,,,,,
wideband_pgd,7,-4481974.0,55921.36328125,455396.0625,0.0,,,,,,,,
wideband_pgd,8,-4483342.0,55947.078125,455518.9375,0.0,,,,,,,,
wideband_pgd,9,-4483153.5,55947.75,455494.09375,0.0,,,,,,,,
wideband_pgd,10,-4483281.0,55952.30078125,455501.6875,0.0,,,,,,,,
budgeted_primal_dual_pgd,1,-15526.0458984375,979.2517700195312,6210.7109375,2.2706531765948057e-08,1.2714554071426392,4.982058525085449,,,,,,
budgeted_primal_dual_pgd,2,-901985.5,30518.212890625,360782.90625,0.0,1.941085934638977,6.732058525085449,,,,,,
budgeted_primal_dual_pgd,3,-722395.0625,24540.693359375,288933.3125,0.0,2.591304063796997,8.48205852508545,,,,,,
budgeted_primal_dual_pgd,4,-755077.3125,25659.8984375,301990.59375,0.0,3.2978267669677734,10.23205852508545,,,,,,
budgeted_primal_dual_pgd,5,-751978.5625,25559.9375,300734.65625,0.0,4.003523349761963,11.98205852508545,,,,,,
budgeted_primal_dual_pgd,6,-753461.4375,25626.017578125,301310.9375,0.0,4.711659908294678,13.73205852508545,,,,,,
